赵蓉英	29	7293
李辉	21	4182
吴晨生	20	1465
李秀霞	18	4096
王晓慧	17	5560
王磊	17	5706
王延飞	16	5436
刘如	15	809
刘雪立	13	1147
盛丽娜	13	5971
刘洋	13	975
李纲	13	4119
陈峰	12	7998
俞立平	12	573
李明	12	3930
白如江	11	5941
袁勤俭	11	6790
步一	11	4790
陈美华	10	8148
王曰芬	10	5584
王菲菲	10	5775
张敏	10	2776
王康	10	5433
王燕	10	5658
张志强	10	2751
李勇男	10	3755
胡军	10	6351
邱均平	10	7426
苏新宁	10	6505
张惠娜	10	2765
魏明坤	10	8650
孙建军	9	1977
李长玲	9	4205
刘小慧	9	836
华薇娜	9	1198
王伟	9	5260
魏瑞斌	9	8664
付宏	9	308
赵柯然	8	7230
于伟	8	244
刘超	8	1117
胡志刚	8	6387
许海云	8	6910
李晶	8	3976
方曙	8	3388
杨波	8	4457
敖可	8	3355
王健	8	5287
田金徽	8	5916
曹如中	8	3453
魏绪秋	8	8666
王冰璐	8	5304
刘彦君	8	867
韩毅	7	8327
王作功	7	5267
王效岳	7	5503
开滨	7	2511
曲建升	7	3440
顾欢	7	8372
王超	7	5795
潘云涛	7	5082
宋凯	7	2175
冷伏海	7	690
徐健	7	3162
王林	7	5592
张璐	7	2932
张玲	7	2916
王芳	7	5760
王小梅	7	5410
叶鹰	7	1311
李信	7	3718
彭知辉	7	3136
王琳	7	5689
付中静	7	301
王忠军	6	5476
陈超	6	8172
王雪	6	5828
张爱华	6	2903
侯剑华	6	526
冯志刚	6	658
姚艳玲	6	1862
张薇	6	3030
侯海燕	6	542
董坤	6	6622
姚长青	6	1865
刘丽	6	712
王东波	6	5222
杜建	6	4264
唐小利	6	1744
武夷山	6	4797
杨瑞仙	6	4484
徐婧	6	3175
周文杰	6	1625
张宁	6	2671
张洋	6	2871
赵宇翔	6	7168
马路	6	8502
王欢	6	5609
张艳	6	2997
赵志刚	6	7188
孙芙蓉	6	2064
潘龙飞	6	5131
李杰	6	3988
刘丹	6	709
杨克虎	6	4328
马海群	6	8466
杨柳	6	4445
王莉	6	5767
张静	6	3085
段志光	6	4823
李荣	6	4157
刘宇	6	828
张俊华	6	2571
刘杰	6	944
王丹	6	5225
陈静	6	8203
李静	6	4228
谭宗颖	6	7002
陈坚钢	6	7967
徐扬	6	3198
梅建明	6	4736
孙宾宾	6	1971
赵思喆	6	7194
章成志	6	6130
曾文	5	3520
赵冰峰	5	7141
刘记	5	1110
余厚强	5	482
邓国民	5	7369
徐蕴	5	3269
刘运梅	5	1122
王旭	5	5530
赵勇	5	7144
魏雅慧	5	8671
李超	5	4175
王倩	5	5284
黄福	5	8805
张琳	5	2925
高继平	5	8605
李广建	5	3848
朱庆华	5	3585
杨颖	5	4553
吴丹	5	1384
刘睿远	5	1038
李阳	5	4207
王兴	5	5293
陈祖琴	5	8128
郑军卫	5	7508
李敏	5	3896
刘小平	5	835
刘静	5	1151
程金莲	5	6109
唐研	5	1765
杜湘	5	4280
张国飞	5	2630
王丽华	5	5232
李欣	5	4005
